Questions,Responses,Question number,Transcripts
so this you are because you are not involved and your institutions also was not involved. do you know some of the specifics of this ppp the modality that were discussed during this ppp through the discussions that you had with your friends? ,yes i have ,4,rwa_int_pe_2021_12_23
"so then, based on the few information that you have, do you know who was involved in this ahdp ppp in this discussion around the design of this new partnership? ","according to what i know the private part is abbott, abbott who provided clinical chemistry, hematology, and molecular equipment. so abbott provide three types of equipment the negotiation was coordinated by rdb, rdb business experts. and rbc was providing the technical point of view and information needed in collaboration with abbot. rdb designed negotiation document ",5,rwa_int_pe_2021_12_23
then we are still going to go through what you heard about these ppp through different people. ,"i think we considered all the health facility levels at initial stage national reference lab had the three types of equipment. we took two teaching university hospitals, which is, chuk, chub and recently appointed. we have recently appointed them as referral hospital. i think ruhengeri and kibungo then, well, we considered also some hospitals which are on the borders, byumba, gisenyi, gihundwe and these are the satellite lab. yeah because equipment needs some infrastructure to accommodate them so i think all the hospital, all the levels were placed at district hospital provincial and referral hospitals and the national reference lab. but an assessment was conducted to see the volume of samples tested on the selected hospitals as the basis of negotiation.",6,rwa_int_pe_2021_12_23
"and then for the ppp, i think, you know, the context and, you know how, which works in rwanda","i thinkthe starting point was to compare thepriceofreagents and consumablesbutthis was the initial stagewhere especially the partner, the abbott was sticking onit requestedthe cost involvedat least one test. actually abbott wanted, we provided the cost it took us to run lab tests. yes. ",7,rwa_int_pe_2021_12_23
"okay. so do you, are you aware of the different options that were discussed during this ppp especially when they were designing the model, the final model to be adopted? do you have any information about the potential model that were discussed? ","i said it is rbc and rdb teams and if i remember well the design was coordinated by rbc by the business unit and bios department was providing the technical information needed but the former director of business unit was the one who coordinated the design. chai came in later in the evaluation of the project. well, i don't have much information but i think rdb was involved and mof was involved come in to validate the process",8,rwa_int_pe_2021_12_23
"it's good. okay. so you know, that ahdp is a ppp about lab diagnostic, so really focusing on improving access quality of that while being also afford to the rwandan population. ",it was based on the cost.,9,rwa_int_pe_2021_12_23
"it was mainly, looking at first of all, the public sectors, improving what the services are in the public sector. ",yes. about reduced the cost. we were comparing to the existing running costs of different laboratory tests.abbott reduces the cost not to go beyond to what we use to today.,10,rwa_int_pe_2021_12_23
"so, here we have the next set of questions, me looking at how the policy context and the different stakeholders can shape the ppp design. so the question is about, the legal system in place in country. and how is it supportive, to the ppp when you look at the existing policy legal and regulatory framework that we have in rwanda ","i don't have much detail of the negotiation, but what i think is we were trying because we were trying to have the cost, which is not expensive. ",11,rwa_int_pe_2021_12_23
"so meaning you are suggesting that you are saying, first of all that people have a different mindset and we may face challenges and resistance yes. from players and in rwanda, we're not necessarily into ahdp, but in ppp arrangement in general, andto try to address these resistance, it's going to be good to share like examples or experiences across different sectors to show that ppp can work. it's not necessarily the devil. it can work and can get good outcomes out of it. ",i think it is between rdb and mof i'm not sure which among them. ,12,rwa_int_pe_2021_12_23
"so can you then based on your experiences, so what are the projects that have been there in country that can provide lessons to these ahdp ppp? ","i think there is three options for us is to have equipment free of charge yes, because it is a placement model.having equipment, availing maintenance services and capacity building, this is a three services, which has to be offered at free of charge , but of course abbott as a business institution has to recover all those coststhroughthe reagent over time. ",13,rwa_int_pe_2021_12_23
so you didn't move on with that ambulance project? ,i do not have much information about this.,14,rwa_int_pe_2021_12_23
"how was the collaboration, the relationship between public and private especially, for example, if you look at the one that actually worked okay implemented with the health post, with ofh and sfh?","i didn't yet know once we implemented the ppp, if it'll be easy, why? cause if you can see, we have social cases, in most of our hospitals, we have social cases like people from, i think, with the one and with the too, which don't pay which the government to pay for we have many social cases in the hospitals for me, i didn't yet, currently i take abbott the ppp of abbott currently it is running, it is running like any other placement, because even for roche, we have placement equipment they keep received through leasing system which the equipment is placed. then we only buy reagent with extra cost we have some few equipment for roche in this framework butif we can take the lab management we offer it to a private company.i think there will be two challenges. one as once for the, the lab, the lab generated incomes to be managed by a private company. every client has to pay. and i'm not sure if you will manage to pay for all the social cases because was we buy reagents, we offer service business oriented. so ours is to serve and we don't focus on the vestment and benefits, but once the business company comes in, i think they have to work for benefits. this is number one, number two, who also most of the labs are most of the hospitalsurvive from the incomes generated from the lab. so i think those two things, i think, need to be a challenge be the challenge. ",15,rwa_int_pe_2021_12_23
so then what has been the historic investment and interest from government in lab diagnostic?,"okay. accessibility. i think access, the package may be increased because there is the hospitals do not offer to the do not the clients yet the equipment itself can, can offer the service. but the problem is not the, the reagents, which is not purchased accessibility, i think. but affordability, i think it is a challenge. ",16,rwa_int_pe_2021_12_23
"so looking at ahdp, you know, a little bit about ahdp what is the goal of the ahdp? so according to you who are the key stakeholders that should sit around the table when they're discussing ahdp ppp?","i think i mentioned before. so i think we talked about the cost and turnaround time and i think it can be reduced.but as the cost, i don't think it can change because all of them are in business. yes. the business way it is designed to, to invest in the recovery, which you invest okay.",17,rwa_int_pe_2021_12_23
"so then how does these different these different stakeholders that you have listed, how do they perceive their advantages and disadvantages of the ppp?",covid-19 affected the ppp design because abbott platforms they did not meet the volume sample needed to be tested.the volume of samples was huge while the machine could run few compared to the volume. ,18,rwa_int_pe_2021_12_23
"so, and then whose interest are helped or hurt by laboratory diagnostics happening in the public versus the private sector? ","i think there is a burden of finance, which will be reduced so burden will be reduced. finance is always a challenge in any business.",19,rwa_int_pe_2021_12_23
"so then this is the next question who is potentially threatened by the ppp, especially here in rwanda what if we work, we come up with this ppps design where we are bringing the public sector with the expertise of the private sector and doing this joint venture to improve the public sector, like diagnostic network. so who is going to potentially be threatened? ",not be possible. so i'm not yet. sure.,20,rwa_int_pe_2021_12_23
or in organization or any? ,"the existing policy. yeah, the regulatory, i think the rppa framework, don't support to offer the tender to one person the procurement policy and framework is open while the ppp is closed the tender.",21,rwa_int_pe_2021_12_23
could we say that those are going to be the most the people are benefiting the most from this public private partnership. ,i do not have much information about this. i'm not sure. ,22,rwa_int_pe_2021_12_23
"so how interested are private partners you think in participating in ppp like this large, ahdp ppp especially in our context? ","not really much. i can view the people who were involved, ",23,rwa_int_pe_2021_12_23
"so, so you mean that people, if they're not coming is because they may not have all the necessary informationso what are then these information that they may need, they want to know to have to be attracted?","but i think they are different because abbott is the business company, i think ahdp manage a private company to facilitate the mediation between the government and the business companies. i think they're quite different.",24,rwa_int_pe_2021_12_23
"what are the big you have listed some of the incentives, what are then the drawbacks for a private partner? what are some of the drawbacks that may hinder the participation of these partners? ","i donâ€™t have much information on this as i was not involved currently we have many partners in the lab, chai is in charge of the monitoring of this ppp and providing technical support and facilitating in issue of finance.",25,rwa_int_pe_2021_12_23
"so, and then do you think that the private partners that we have here in working in lab do you think that they have the capacity to participate and deliver on a ppp? especially when we are looking at the ppp the ppp that ahdp was looking at was really something that is big, where, uh, could move from just doing sample transportation to something that is like co-management of lab network. ","the first one is the incomes generated from the lab. the second one. as i said, there is always social cases, which don't pay services. is the support of the government, the third one and it's the partner different partners have in country. ",26,rwa_int_pe_2021_12_23
"so do you think that private partners that we have in the country will be interested in taking up the, this available financial instrument offered by ahdp? ","we may say no, because sometimes the, the support keeps decreasing. ",27,rwa_int_pe_2021_12_23
"so these financial instruments may somehow, i don't know, good incentives to them, maybe to participate?","but for me, i thinkwell, i think even if what maybe we didn't discuss is that if you can see how abbott was designed at initial stageand how it was implementedi thinkit didn't reach its objectives. the initial plan was to take the management of public laboratories but currently have the project being run it is the, it is like a placement system, like other partners. they wanted to run labs. manage the incomes generated then shares the incomes generated between the government and themselves. but if you can sell the project is being run. it is like any other you system so i may not say ppp project, as it was designed, it didn't reach its objectives. ",28,rwa_int_pe_2021_12_23
"so now this last question is about sustainability and scale up. so especially looking at, the public sector financing. ","i was not involved in the implementation much involved with the implementation, but what i think was the challenge to not reach this objectives. i first one is the social cases which don't pay medical or laboratory services. two. it is the incomes which support most the hospitals which support most the hospitals the funds generated which helps functionality of hospitals.",29,rwa_int_pe_2021_12_23
"so please, can you describe your involvement in the ppp process and the african health diagnostic platform in rwanda? ","so i worked as a senior associate on chai rwanda team. i provided the lab technical inputs on the ahdp work alongside my colleagues, one of them had more knowledge in the costing side of the work. the other one had the overall oversight over the strategic direction alongside the global team.but my role was the lab technical work on the team.",1,rwa_int_pe_2021_12_10
thank you very much. who is that person who has the information so we can target him/ her for this interview? ,"yes, i am. ",2,rwa_int_pe_2021_12_10
"there is no problem. you can provide the information that you can have but you are familiar with this african health diagnostic platform, as it has been coordinated at national reference laboratory. at least you have some information on it?","yes, yes. okay.",3,rwa_int_pe_2021_12_10
so what was the process of negotiation of this ppp?,"so what happened was that there was a prior assessment of the lab network. the lab network, where we realized and we have listed a number of challenges. after documenting the challenges in the different lab system areas from policy to quality assurance. we then took a time understanding the entire ppp model, what are the guidelines for rwanda. so with a clear understanding on the ppp steps, we were able to then propose a number of models, privatization that we thought would address the challenges in the country. and also reduce the cost in terms of running laboratories, and also improve efficiencies laboratory services.",4,rwa_int_pe_2021_12_10
"how did this process vary by topic, for example, the facility selection, procurement model and the contract type, including referral network and other things? ","so, we had the one discussion with the major stakeholder. the ministry of health, rbc. when we had that it was with ministry of health and rwanda national laboratory. when we discussed, they realized basically this kind of stating the problem and we had the solution to it. but also we had discussions with the number of other stakeholderâ€™s agreement assurance companies, private sector.",5,rwa_int_pe_2021_12_10
so what were the sticking point around the ppp design and how will they resolved? ,"we had mainly the rssb, that was one of those the first one, but also, we looked at the other the military medical insurance a bit, and looked at the deals that are being activated, the costs that were going into healthcare laboratory services from those, and their price ranges. so that's what we looked at. yes, we had discussions with the private labs. we did also with some kind of private labs, i don't remember which one exactly. but i remember like the lancet, how they offer the services and how much. and then we compared with the how much has been offered and decide. so, well we conducted a number of contacts with hospitals, regional andreferral hospital. and then the other stakeholder was minecofin understanding. we also had the rdb team we had discussions with them. and of course with our global teams, and we had to discuss a number of modalities, but to the stakeholders really that are off my head.",6,rwa_int_pe_2021_12_10
"who has been involved in the initial design of the ppp on the side of the government, on the side of the, the partners, ","so, we had a lot of input from the national reference laboratory and ministry of health that was a key people, but also we had a lot of back and forth with some stakeholders who are not really present on site that minecofin and rssb but the major people we had present in front of us were mainly. rdb and ministry of health and national reference laboratories and also we had minenfra.",7,rwa_int_pe_2021_12_10
"how did the initial design change and during the deliberations,","one is that when we did this study, we did a feasibility assessment. in the laboratory network, we identify those challenges. then, we did a feasibility study kind of being a rigorous analysis on technical and financial sites or risk analysis, kind of evaluating the cost and impact implications for such partnership.but what we got later on was that there was a lot of doubt in our findings from the assessment, because we had 2019 data, they said no, get updated data that captures data maybe from 2020 to 2021.",8,rwa_int_pe_2021_12_10
"yes. so they did they, did they change the cost? ",yeah. so i think we had a rough estimate that we did an investment of around $20 million to build a structure to expand this surface of service offerings. and we thought that would come from the cbhi and government insurance and in patients. and then the private part now needs a kind of cape index around. was it 15 million or 10 i don't remember very well i don't have access to those files already.,9,rwa_int_pe_2021_12_10
"how did this change affect the process, would affect the process of the design and the negotiation?","there is a policy that is all the property from these remains, and i think i also had to sign a nondisclosure agreement with a rwanda biomedical center, so i had no authority to take any copies of this file. okay. so, they were protected by our supervisor.",10,rwa_int_pe_2021_12_10
so who or which institution would have been ultimately responsible for approving the ppp design? ,"yes, but then if you could introduce a better service offering in terms of the number of tests that can be offered, you could also improve efficiencies in the system, practice better or services for this population, but this was actually refused.",11,rwa_int_pe_2021_12_10
"what option were all are still being consider when designing the model. so the different contracting options, for example, the consideration geographical spread. so refer network like that","so, we had, i think we got stuck on the fighter recommendations, getting their recommendations and their models, because this is the study we took a lot of time, if we had the final recommendation approved by rdb then would be able to launch a tender. and then also contracts offer contract and implement the ppp but we never went to pass that we remained on the recommendations and the models, and we kept with revising that i think we looked at this, the status poor where it was a public responsibility. we look at the under the call session where we had to privatize the entire system. apart from the infrastructure of the laboratory space, this is a government property. then we had another model which was called co-management, whereby the aspects of the laboratory like staff, the data, and the infrastructure handled by the government, and then the rest like instruments, procurements, capacity building, those things have quite a control as managed by the private person. but we also had challenges where we said okay, if you had a private partner has no control over staff and their compensation, does not have things around patient that are the data tracking and recording. even we do not understand the modalities over enumeration of the private partner because they'll be getting a kind of commission or after the offering of the service from government agencies, then it would be very hard. so, yeah and that's why the initial models then we ended up in things like sample transport.",12,rwa_int_pe_2021_12_10
"how appropriate is the design of african health diagnostic platform public private partnership to the local context? for example political, social, economic and technological environmental housing, the agnostic market.","yeah, we had to add the cut some of the designs which were acceptable. and it was the feedback from the gentleman who joined later on, he replaced the former division manager of rnl.",13,rwa_int_pe_2021_12_10
"how would an ideal public private partnership design accommodate the need of apriority population, for example, the poor household, the complicated patients? ","it was more acceptable address our immediate concerns, like sample transport. because someone used to say that if you brought me a private partner who can manage my sample transport system, so without me having to invest so much energy and staff in managing sample transport, i will sign that contract but give me all the things that are privatization i cannot sign such a contract. he was also in agreement that yes sample transport to be something really acceptable for someone who manages laboratory accreditation, because i think that is a massive gap there was only one love that quote accreditation in the rest of the models.",14,rwa_int_pe_2021_12_10
so how would the ppp design address key considerations to improve access of laboratory diagnostics in ppp is proposed?,"so, the next we have looked at we had put a kind of statu quo, looking at things like the staff hiring and what all those who are managed by the public. then we said, can you fully privatized a concession. they operate directly within the hospitals, the private law that they disagree. they said we cannot handle our laboratories to the private plan, it would need serious approval from the higher levels, i think this can do that by then, the co- management kind of caused issues. the public labs, they continue to operate with the private sector partner. that basically we recommended at highest volume labs where the private partner would maybe gain some level of income from volumes. so that co management came to where they would not understand. okay. our staff, and then patient and this data, managing that data, but who would be in charge of collecting the funds from the different sources, and how much would we end up paying, the private lab partner will be supporting? so those were things that took so long to negotiate. how much would they pay and what kind of payment mechanism in place, so it took so long.seemed also been not because we limited them with few things like infrastructure staff, patient data. we left the rest of the things like capacity building, mentorship, procurement and supply chain. the things and also like the maintenance of equipment, we left them entirely to the private partner, okay those we talked to were either concerned about not being able to determine the staff hiring and conversation. because if people are not meeting their targets, then it kind of affects their performance.they need to have full control of staffing. and the thing is that also the private partner looked at lower staffing, because they would be able to motivate them better to hit the targets much better for them, even for the profit. but the government said no we cannot release our staff. let go of staff. and then, where do they go.",15,rwa_int_pe_2021_12_10
so what factors do you think changed the discussion around the ppp? ,"so we had a steering committee. the steering committee had the honorable minister. think of it a dg we had some people from rnl, from the ministry of health. but you would wake up tomorrow and the cabinet has changed someone, the honorable minister is no more, or the dg has been relieved of his duties, or the lab director is no longer there. so, introducing the same concept to a new person, every single time, took us back a lot.so that was the major problem, you would have a champion today. then tomorrow you don't have a champion, they are no longer there at moh, or they are no longer there in rnl, there is no longer someone who is part of the work.",16,rwa_int_pe_2021_12_10
so how has covid-19 affected the ppp design? ,"we had the former division manager of rnl. we also had the current dg of planning at moh, we also had the former country director of chai and we had the current minister of health. and then we had to be introduced to him but before anything went to rdb, or the committee that said we needed to have a sign of by the honorable minister. and so the switch from then to that. again, caused the problem then the dg was changed, and then we had another issue altogether. and then were there before we knew it, rbc was changed, and rnl was changed. i then took him to refer to the new clinical division manager. and so i think later on he was saying, okay let's try to do something around sample transport. so, in the entire model.",17,rwa_int_pe_2021_12_10
"so if ahdp is providing a technical support and the facilitating financing for these ppp, how will the availability of this support affect the ppp design? ","yes. so the honorable minister would be the one to sign off the steering committee recommendations, before it goes up to rdb. and then from there, the rdb if they signed off at rdb that would launch a tender and start the negotiations, but i think we never crossed that, because we constantly remained at moh. but i think later on we realized that there is another problem. we were dealing a lot with the moh, and the people there and everything but also hoping that the nrl was backing us up but later on we realized they said no. we need to be the lead as a lab program, it has to be nrl owned. so we said but you have been part of this discussion all along, again you want it to be back to you before we proceed again. so, there was a kind of conflict a bit in terms of institutions.",18,rwa_int_pe_2021_12_10
so what are the features of ppp design that would not be possible without ahdp technical support?,"copy that, we only had complete a different direction. whenever we would have a change in leadership. so those are the things but also, i think it was mainly the change of leadership would have it at a different challenge. there will be like throwing different ideas entirely. yeah.",19,rwa_int_pe_2021_12_10
so the how supportive is the existing policy legal and the regulatory framework for the ppps? ,"so they were more comfortable with a sample transport co-management. so i think that was a little bit understandable. and it wasn't really bringing also changes to the lab network or asking someone to take off the entire, it was actually addressing the main challenge in terms of sample transport and sites. so that was probably the most acceptable we had discussions to we were more advanced. yeah.",20,rwa_int_pe_2021_12_10
how much resistance among policymakers will this people need to overcome to garner the necessary support?,"so, i think what they said, we had a discussion late last year when we realized now we might not have enough. yeah, we have done the laboratory diagnostic network optimization looking at the lab system recommending all kinds of changes, and this was alongside their pre-feasibility study. facing the challenges and also on the dno side we had instructed some changes that will improve the lab network, and a few other things and the recommendations were accepted on dno. but when i think the new leadership at the nrl said they needed to implement changes in the lab network. so, for a period of time for example, one year, two years, then assess the improvements. and what areas, before taking on any ppp with that all models. so, okay, we realize we're coming at the end of the grant and people have gotten back to that as fast you turn our own assess the network, see what things we have improved, and then get back to you on which kinds of model. so we had discussions with the bmgf.",21,rwa_int_pe_2021_12_10
"what other recent or area experiences or project have there been in a country that can provide lessons for ahdp? i think this is, what you have been discussing. and you were involved in the abbott.","okay, so one of the things that we set out to address. they were four things. access, improve access, improving timeliness, improving the quality and the cost, reducing the cost of diagnostic network. so those are the things that we wanted to set out to transform. okay, some a lot of coverage, good results, good quality, and at less cost. then we did the prefeasibility assessment showed us clearly that, for example, the turnaround time was more than two months from sample collection to results delivery, the national policy, the service offering. i think they were around 100 plus tests but for 27 were being offered by the public labs. imagine having 100 plus test but you can only offer of 20 something or thirty and health centers had 50% less than the test that were kind of made service package.",22,rwa_int_pe_2021_12_10
how the experience of abbott was similar or different from african health diagnostic platform?,"so the health insurance the red one was the rate was much lower than the market offering for reagents. and this would need further discussions to get the agreed upon. so, in all that we submitted and all the things. there was still going to be a challenge with national insurance cases because we had really addressed the discussions for that in terms of pricing. i think there's a lady at moh. i don't remember the name very well, she took on that discussion passionately, but it had never been resolved, and i think i left unresolved. to this day, i don't know. tell me what is going on.",23,rwa_int_pe_2021_12_10
so who are the key stakeholders in the ppp? and why are they involved? ,"exactly you know the tariffs, it was made way back, but things have changed their improvement this which have come up with, and the costs have gone up.",24,rwa_int_pe_2021_12_10
"what are, or could be the plans in a place to support the public sector financing of diagnostic in the future? so which different source of funding are expected to be used for financing diagnostic? ",in my own opinion i always thought his excellence would help us with that such a problem.,25,rwa_int_pe_2021_12_10
do you have information about how government increased financing support to diagnostic during the ppp period of for example the,"you know, the people listen to the president, a lot.",26,rwa_int_pe_2021_12_10
so what is the consequence of not reaching this initial plan for the system?,"i think it is made to allow the laboratory to take their efforts in improving the laboratory system. according to the dno recommendations, assess the impact of their work in a year or so, then do a quick feasibility to see what the remaining gaps are. and with that, you can design a model that addresses the challenges that have not been addressed by their efforts. because, i mean i have not travelled so widely but i can say that the government staff, the government of rwanda, people really work hard and passionate about the work they're passionate about the way they work. so they work hard. i'm comparing with my uganda where staff come and by 2pm they have disappeared.so, if i'm to compare yes, rwanda had passionate about their work, but take on efforts that then assess what they need based on that, then they would accept okay we had that for two years. at this point, so we need help on this area. so, there are the big quick reassessment of the lab network, and then kind of tweak the recommendations based on their knit at the time. so then maybe it will be acceptable. but without them trying their best, they would feel people have just jumped in without helping. yeah.",27,rwa_int_pe_2021_12_10
"so the first question that we have for you we want to understand your involvement in the ppp process, under the african health diagnostic platform in rwanda. so if you can please describe your involvement.","so i think we need to understand faster, i would need to fully understand the landscape of the laboratory. i would still do a proper feasibility study of the lab. so kind of study but also the last thing i would widen the net in terms of stakeholders, not limited to a few nuclear change, if you have to introduce to others, but have everyone on the table, not just a steering committee but how people constantly engaged to show them the benefit of the ppp or not activity, and then also the other bit. i think i would have an earlier discussions with the private sector and the insurance companies, they couldn't be government owned or community based, but they could also be privately or understand, what can manage what cannot be managed. but also i think one of the things that would need to help a country would be start immediately from the get go, negotiating the real debt course and including things like bundling price per test.and then, just the reagents, so that the manufacturer, as always, in the country agents of manufacturers are aligned with the country need in terms of cost, and the volumes that are available in the country. so, that is what i think i would do.",1,rwa-int-pe_2022_2_1
"okay. so, we can say that you're pretty familiar with the project. right.","i don't know, that is a valid one but i think. we had a scenario whereby people are fully engaged we were discussing with them and then covid-19 hit. around march. and the discussion died because the entire ministry, just jumped on covid-19. that's the time again and they added live with the conversation after a pandemic was another thing altogether. you know, we all went in lockdown. so i can say, that was one of the things the conversation died at one momentum so that is one factor. that also affected things like the cost higher. why it is higher why is the cup subsidy going higher. people are not willing to pay more money. out of pocket money, cbhi is not going to put more money in these. so that is one of the things. yeah.",2,rwa-int-pe_2022_2_1
so you participated in each of the state of this process.,"because the entire ppp deals live on someone being able to get the loan facility. we never felt like the lab way to get the whole sell loan to build the infrastructure according to the standard. the other loan they got was for setting up the nrl, the new facility under the european investment bank. but it was entirely outside the ahdp so it could have affected i don't know really, because they got what they wanted. in terms of getting loan to run the system and then paid slowly we never felt people wanted to hear anything like getting loan. they wanted to see something around can a private partner bringing down their own money, and run their thing and then get out when we don't want them anymore. so, the loan thing was a sticking point.",3,rwa-int-pe_2022_2_1
"and. okay, the first part of this interview is going to look at the specifics related to the design negotiation.","yeah, so that's one of the things, loans, approved really high up there may be at the highest level so it can kind of came up to the sticky point.",4,rwa-int-pe_2022_2_1
"so we would like to know how, what was the process of negotiation of these ppp? for example, the process during selection of facilities where this initiative was planned to be implemented, the model that was chosen, how did all this process go. if you can describe that for us?","so i find the regulatory environment quite bureaucratic. it's so devoid of people who make decisions. it is only made of people who relay the information higher up for someone else to make a decision, people steered clear with the hard of decision.",5,rwa-int-pe_2022_2_1
"so i would like to better understand, especially when it comes to the models. so because the different models that you proposed, i think you had some discussions.","yeah, people were a little bit fearful of making decisions. the only thing that i think once i find is that, rwanda has the rules that are basically avoid any form of corruption and is good. and so it being watertight, and with all those steps is a good thing.and it's good to see a country that follows the guidelines to the letter and does not kind of bypass procurement steps. for example in uganda, someone who come talk to the honorable minister, the contract to be signed tomorrow. in rwanda that will not happen. so, me being an upside fast admired, i admired that people are following to the letter. for example, for abbott deal i think it was signed in 2016 to do a feasibility, and i don't know that they have signed the full thing to this day. ",6,rwa-int-pe_2022_2_1
excuse me when you say insurance companies. can you say which ones?,"so that's one of the things that the steps are very rigorous, but i think they're supposed to be corruption proof. and so the thing is they are really bureaucratic so you have got to be. i think bmgf needed to give it time, the timelines they were giving for the very controlled environment. without any bureaucracy or something, or quickly get someone, pick a contract. okay, let's go for tender how fast know the speed at which you are giving it will not be taken on by every government, equally. you know other government have their processes and i think we need to respect the government processes, and the timings.so, be flexible to hear things like let's first do our own effort then do another feasibility.so, i think, the bmgf needed to hear that, but with a strict timelines that was a controlled environment that would not work, i don't know either kenya managed to do it really or ghana, with ethiopia fully.",7,rwa-int-pe_2022_2_1
"putting together these different models. so they had like you discuss the model, or it was just stakeholders that were involved in providing information.for example, on cost, on average because we want really to understand, during the discussion onwhen you were shaping, designing the different options to understand who were the people in the room. during this step.","yeah, so, like bmgf and eib pushing us get the thing on. we need to get the loan. so it was kind of got us in a sticky point, because we were pushing too hard, and government entities when you push too hard it looks a little bit tricky.",8,rwa-int-pe_2022_2_1
"okay, so then during the next question is really looking at, i think you had those discussions, a lot of back and forth between the different teams and people are bringing some concerns you trying to address their concerns.","we had hard time deadlines with bmgf, we were having sleepless nights. but the sleepless nights were not because of the government, they were because of them.",9,rwa-int-pe_2022_2_1
"itâ€™s really interesting, we were struggling to get people who were really involved.since the beginning to have a better understanding of the process. and i think you have a lot of information as a technician who were involved like, highly involved in all these technical steps. ","i think rwanda has exemplified that they're open to ppp. they have several, i think on orthopedics or something. i think eye care or something. but the sticky point is, get a loan. i think stood out really hard for them, we're open to someone working with us and partnering with us and we signed a contract and all of that. but we're going to be take a loan in immediately without understanding why are we getting loan for",10,rwa-int-pe_2022_2_1
"omg, you didnâ€™t save them into your computer, for example? ","injecting money and negotiating yes, and they're open to having a section of the healthcare, is a priority needs addressed by private partner. but compared to other countries rwanda has been open to private partners, just that i think this one stood out really clearing with a loan issue and the pace at which we were pushing the government to get a side deal and get a loan.",11,rwa-int-pe_2022_2_1
"oh, i just wanted to understand better the cbhi right so based onyour calculation estimation so you found that the rate, the theory for the cbhi may increases and that's why you had all these people disagreeing with that.","not really heard of it, and i only knew that portable private players in the lab sector, like lancet but. in terms of any other issues or laboratory private sector, i really not heard of it. and now when i remember there was something that also rwanda was open to. and we had a discussion with the global public health foundationgphfheaded by professor and his company offers services for laboratory accreditation. and so, they thought if such a person came in and they sourced funding from cdc. in terms of a grant to support the government. it is basically picked from uganda. what cdc did in uganda was to get gphf to support public laboratories towards accreditation, you know.and so that kind of a private player coming in applying for cdc grant, so that was something we had discussions with them and were open to it but it still come back that even if we had, we got this people on getting a loan from eib they've been used to gettingthe funding from examples, petfar.but petfar in rwanda was not opened to such. they kind of work different.",12,rwa-int-pe_2022_2_1
"yeah, i understand. i think i participated in one of the virtual meetings where they could see also that there was an increasing in the health insurances, especially the cbhi will pay. and i remember that some people were like no, how we can think its increasing. so someone from your team tried to explain that actually this is because we're providing more services also we have more efficiency.","so the biggest incentive to join was that there's money to be made. but i think the concerns were is there really volume. in terms of test for the people. so we exemplified volume, because more volume means more gains, but also, what are the payment modality by government, you know. so that was something that also stood out how we would get compensated when we offer these services. i think those were the drawbacks really.",13,rwa-int-pe_2022_2_1
"so actually what we can say here is that the initial design as you said you were proposing co-management or privatization, but then because of all these challenges that you faced the one that you discussed then you had to propose other design, after like the sample transportation.","i think in the country, they are those private partners were basically again still from outside mainly south africa like lancet, you could see they have the capacity to do, but the realcountry ones we're not really having capacity. they are mainly outside as would be inside too, many outsiders that are working inside. for the local ones there is no that big capacity yet.",14,rwa-int-pe_2022_2_1
"so they proposed the sample transportation, it was more acceptable. ","i cannot get off my head right now. but i think the ppp model, there is need to continue this conversation because it would benefit the people me i so firsthand that would benefit the people.no matter how much the government put in and pushes. they are just some skills that you can only pick from outside. for example, accreditation of laboratories things around the sample transport. you see blood transfusion has been drastically visualized in rwanda, which is a big thing people see drones, because they were being managed by someone. so i think, should be a conversation that is handled and discussed by these people, and we see. i think it's worthwhile. so that why they should be starting the new discussion.",15,rwa-int-pe_2022_2_1
and what i was going to ask. and model that you proposed before the other designs. so what did they say about it. the other around co-management or privatization so they said okay let's start with this one it's more acceptable it's addressing one of the most urgent problem that we have sample transport.,"i will think one. there is a need for bmgf or wherever is still interested in a private is in this ahdp to give it some more time. and in one, improve the capacity, the understanding of government. of their services and also the priorities that lies within the private sector. so that would be a good need to educate the private sector, on what they can do to address the challenges that opportunities that are in the government to address these challenges so capacity building is one thing, knowledge sharing, open transparent technology and sharing, but also bmgf can facilitate that process to see that is actually increased the understanding of the role of the private sector within public institution. so that is something that needs a lot of time to try to be grounded and everything, and it should be i think now when they have not yet forgotten about it. and people should be able to do that so that is one good thing that i think is needed to be done.",16,rwa-int-pe_2022_2_1
"so something else that we wanted to understand better along this process, you have this different actors that were involved in this process of designing the ppp, did the main actors changed along the process and how these changes affected the continuity of the process to the final discussion","so the other thing i think which fell out of my mind a recommendation would be the ngos that are working with either bmgf or nothing to support that should have some form of support, dedicated support for people who sit at the ministry on a day to day sitting at their ministry. people who were embedded into the system. so, that would be, kind of bring more trust to the process, and also interact with every day. i think that's very important when you have people embedded in this team, while working within a daily on many other tests. you could decide to remember it. a government official works at the ministry who is like a champion or something, but i think that gives more liberal.",17,rwa-int-pe_2022_2_1
